"","FCHI.Open","FCHI.High","FCHI.Low","FCHI.Close","FCHI.Volume","FCHI.Adjusted"
"139",5088,5091.1298828125,5045.06982421875,5069.419921875,82550600,5069.419921875
"140",5058.47998046875,5100.7900390625,5015.10986328125,5093.18017578125,65186800,5093.18017578125
"141",5129.77978515625,5172.97998046875,5097.419921875,5104.27978515625,85782100,5104.27978515625
"142",5098.47998046875,5099.2900390625,5028.47998046875,5037.1201171875,75799200,5037.1201171875
"143",5064.72021484375,5083.97021484375,5019.2099609375,5033.759765625,79473700,5033.759765625
"144",4973.72998046875,4982.1201171875,4925.41015625,4956.43017578125,76465000,4956.43017578125
"145",4944.2998046875,4957.77001953125,4923.18994140625,4939.6201171875,74167000,4939.6201171875
"146",4930.10009765625,4950.009765625,4893.6298828125,4928.93994140625,78674500,4928.93994140625
"147",4948.47998046875,4978.5,4945.580078125,4958.740234375,75517100,4958.740234375
"148",4952.080078125,4952.3798828125,4801.02001953125,4852.93994140625,137065700,4852.93994140625
"149",4866.240234375,4902.89990234375,4783.68994140625,4783.68994140625,129676300,4783.68994140625
"150",4797.06005859375,4899.52001953125,4763.60009765625,4875.93017578125,104619900,4875.93017578125
"151",4905.66015625,4920.7998046875,4856.64990234375,4889.52001953125,86945300,4889.52001953125
"152",4916.9599609375,4954.60009765625,4907.41015625,4933.33984375,74970100,4933.33984375
"153",4919.41015625,4951.85986328125,4860.97998046875,4885.1298828125,80015300,4885.1298828125
"154",4873.10009765625,4896.2099609375,4843.89990234375,4889.52001953125,62365400,4889.52001953125
"155",4905.27001953125,4937.6298828125,4878.580078125,4909.509765625,62044500,4909.509765625
"156",4952.41015625,5052.1201171875,4949.0498046875,5027.990234375,97809400,5027.990234375
"157",5017.72998046875,5096.52978515625,5010.7998046875,5073.31005859375,76792800,5073.31005859375
"158",5055.419921875,5079.02001953125,5037.5498046875,5042.3798828125,57693500,5042.3798828125
"159",5018.9501953125,5018.9501953125,4921.580078125,4962.93017578125,66383400,4962.93017578125
"160",4972.58984375,4995.5498046875,4937.72021484375,4971.93994140625,51855600,4971.93994140625
"161",4951.97998046875,5001.2900390625,4924.14990234375,4938.06005859375,60466700,4938.06005859375
"162",4934.7900390625,4977.22998046875,4917.52978515625,4977.22998046875,53103600,4977.22998046875
"163",4914.68994140625,4937.9501953125,4888.14990234375,4911.240234375,66410900,4911.240234375
"164",4927.60986328125,4939.25,4839.080078125,4896.330078125,72886800,4896.330078125
"165",4948.7099609375,5013.7001953125,4948.7099609375,5007.89013671875,68837200,5007.89013671875
"166",5023.06005859375,5073.60986328125,5008.27001953125,5008.27001953125,64060000,5008.27001953125
