"","AIR.PA.Open","AIR.PA.High","AIR.PA.Low","AIR.PA.Close","AIR.PA.Volume","AIR.PA.Adjusted"
"336",98.9100036621094,102.160003662109,98.9000015258789,101.23999786377,1297965,94.5973739624023
"337",100.720001220703,100.980003356934,99.1600036621094,99.7900009155273,933554,93.2425155639648
"338",99.6699981689453,100.5,98.8000030517578,99.3000030517578,1394580,92.7846603393555
"339",100.339996337891,102.76000213623,99.5199966430664,100,1725985,93.4387283325195
"340",101.040000915527,101.580001831055,99.3099975585938,99.9400024414062,1707401,93.3826751708984
"341",100.160003662109,100.900001525879,98.8300018310547,99.9100036621094,1004726,93.3546447753906
"342",99.9000015258789,101.059997558594,96.4300003051758,96.7300033569336,2254082,90.3832931518555
"343",97.5800018310547,98.1500015258789,95.879997253418,96.5699996948242,2282437,90.2337875366211
"344",97.0999984741211,99,95.8300018310547,96.75,1838181,90.4019775390625
"345",97.8300018310547,98.5,97.0100021362305,98.370002746582,1139121,91.9156875610352
"346",99,99.5999984741211,97.5,98.3600006103516,1031069,91.9063415527344
"347",96.4000015258789,97.3399963378906,94.6500015258789,95.9000015258789,2063036,89.6077423095703
"348",95.7200012207031,97.3000030517578,95.1900024414062,96.5599975585938,1448836,90.2244491577148
"349",95.0699996948242,97.0899963378906,93.1800003051758,96,1211617,89.7011795043945
"350",97,99.5699996948242,96.1100006103516,99.5699996948242,1525622,93.0369491577148
"351",99.5999984741211,99.9000015258789,96.6500015258789,96.9000015258789,1087269,90.5421371459961
"352",97.6800003051758,98.0699996948242,96.8099975585938,97.1399993896484,1469378,90.7663803100586
"353",95.8000030517578,96.3499984741211,93.5599975585938,95.0599975585938,1947475,88.8228607177734
"354",96.0299987792969,96.5100021362305,94.870002746582,96.5100021362305,1291926,90.1777191162109
"355",96.6999969482422,97.9800033569336,96.5800018310547,97.9100036621094,1454579,91.4858703613281
"356",98.2099990844727,98.6600036621094,97.7300033569336,98.2600021362305,661841,91.8129043579102
"357",98.5999984741211,98.9199981689453,97.1399993896484,97.1399993896484,1314019,90.7663803100586
"358",97.9499969482422,98.2900009155273,97.5899963378906,97.6699981689453,995643,91.261604309082
"359",101,107.819999694824,100.540000915527,106.680000305176,5430363,99.6804428100586
"360",107.919998168945,109.699996948242,107.680000305176,108,2237227,100.913833618164
"361",107.919998168945,108.419998168945,106.580001831055,106.660003662109,916534,99.6617584228516
"362",106.860000610352,109.360000610352,105.860000610352,108.76000213623,1489206,101.623977661133
"363",109.720001220703,110.959999084473,109.23999786377,110.699996948242,1660110,103.436676025391
"364",110.660003662109,110.800003051758,109.720001220703,109.779998779297,1084375,102.577041625977
"365",109.800003051758,110.339996337891,109.279998779297,109.919998168945,1244330,102.707855224609
"366",110.099998474121,112,108.839996337891,111.319999694824,1094346,104.015998840332
"367",111.720001220703,112.379997253418,110.459999084473,110.5,1171363,103.249794006348
"368",110.720001220703,111.279998779297,110.199996948242,110.599998474121,1035299,103.343238830566
"369",111,111.379997253418,109.580001831055,110.519996643066,1046648,103.268486022949
"370",110.720001220703,113.220001220703,110.620002746582,112.360000610352,1806452,104.987762451172
"371",112.860000610352,113.300003051758,112.080001831055,112.400001525879,1015695,105.025131225586
"372",113.800003051758,114.180000305176,112.400001525879,113.180000305176,1405518,105.753952026367
"373",114,114.860000610352,112.800003051758,114.080001831055,1660779,106.594909667969
"374",113.980003356934,116.040000915527,113.599998474121,114.599998474121,1441039,107.080787658691
"375",114.5,115.059997558594,112.199996948242,112.720001220703,2224730,105.324142456055
"376",111.5,113.099998474121,109.680000305176,112.919998168945,1176178,105.511016845703
"377",113.339996337891,114.440002441406,112.620002746582,112.639999389648,1121429,105.249389648438
"378",112.5,113.160003662109,111.220001220703,111.300003051758,1089417,103.997314453125
"379",111.76000213623,112.639999389648,111.559997558594,111.919998168945,1232312,104.576622009277
"380",112.199996948242,112.360000610352,109.5,110.319999694824,1443544,103.081611633301
"381",110.599998474121,111.720001220703,107.099998474121,107.099998474121,1510341,100.072883605957
"382",107.5,108.339996337891,106.480003356934,106.480003356934,1505310,99.4935684204102
"383",106.379997253418,109.120002746582,104.900001525879,108.440002441406,1986579,101.324966430664
"384",109.800003051758,110.540000915527,108.379997253418,109.900001525879,1245443,102.689170837402
"385",110.559997558594,112.400001525879,109.400001525879,112.220001220703,1648830,104.856948852539
"386",111.940002441406,113.800003051758,110.959999084473,113.080001831055,919942,105.660514831543
"387",113.199996948242,113.440002441406,110.26000213623,110.879997253418,1090015,103.604858398438
"388",111.779998779297,112.480003356934,108.959999084473,109.819999694824,1549039,102.614418029785
"389",109.419998168945,110.440002441406,107.220001220703,109.019996643066,2112437,101.866905212402
"390",110.279998779297,114.019996643066,110.279998779297,112.76000213623,1837644,105.361518859863
"391",112.519996643066,113.76000213623,110.040000915527,112.199996948242,1521422,104.838264465332
"392",112.300003051758,112.620002746582,110.779998779297,111.23999786377,1387125,103.941246032715
"393",110.660003662109,111.980003356934,109.900001525879,110.980003356934,1057178,103.698310852051
"394",112,112.279998779297,109.519996643066,110.400001525879,1673725,103.156364440918
"395",111.080001831055,112.180000305176,109.919998168945,110.639999389648,1556374,103.380615234375
"396",108.5,108.73999786377,103.120002746582,103.580001831055,3974206,96.7838439941406
"397",104,106.419998168945,103.559997558594,106,1915970,99.045051574707
"398",107,111.220001220703,107,110.639999389648,2105827,103.380615234375
"399",111.360000610352,113.360000610352,109.5,109.519996643066,1324149,102.334106445312
"400",111.360000610352,113.879997253418,110.900001525879,111.5,2048605,104.184181213379
"401",111.120002746582,113.279998779297,110.919998168945,112,1176450,104.651382446289
"402",112.099998474121,113.059997558594,110.860000610352,112.319999694824,1244190,104.950386047363
"403",111.099998474121,115.339996337891,111.099998474121,115.300003051758,1651513,107.73486328125
"404",120,121,115.639999389648,116,2705991,108.388931274414
"405",116.019996643066,116.419998168945,113.160003662109,115.699996948242,2047519,108.108612060547
"406",116.800003051758,117.900001525879,115.73999786377,116.779998779297,1114904,109.117752075195
"407",116.800003051758,117.220001220703,114.220001220703,114.779998779297,1446369,107.248985290527
"408",116.23999786377,116.400001525879,113.379997253418,114.440002441406,1536356,106.931297302246
"409",114.180000305176,117.360000610352,114.099998474121,116.639999389648,1227423,108.986938476562
"410",116.5,117.279998779297,115.599998474121,116.900001525879,1045415,109.229881286621
"411",116.580001831055,117.019996643066,114.699996948242,114.76000213623,753338,107.23030090332
"412",114.800003051758,115.339996337891,113.720001220703,115.160003662109,916010,107.604049682617
"413",115.699996948242,116.680000305176,115.099998474121,115.720001220703,712806,108.127304077148
"414",115.279998779297,115.980003356934,114.559997558594,115.300003051758,817945,107.73486328125
"415",114.959999084473,116.339996337891,114.959999084473,115.440002441406,681571,107.865676879883
"416",114.419998168945,114.900001525879,113.660003662109,114.620002746582,611241,107.099479675293
"417",113.940002441406,113.959999084473,112.599998474121,113.540000915527,924576,106.090339660645
"418",113.819999694824,113.819999694824,112.220001220703,113.620002746582,904719,106.165092468262
"419",111.400001525879,111.900001525879,109.819999694824,110.040000915527,1616551,102.819984436035
"420",109.639999389648,110.519996643066,108.199996948242,110.480003356934,989618,103.231117248535
"421",112,112.540000915527,111.180000305176,111.720001220703,795534,104.389755249023
"422",111.680000305176,113.459999084473,111.400001525879,113.459999084473,847802,106.015579223633
"423",114.300003051758,116.680000305176,114.279998779297,115.919998168945,1279245,108.314186096191
"424",114.800003051758,115.580001831055,113.540000915527,115,686226,107.454536437988
"425",114.940002441406,115.019996643066,113.459999084473,115.019996643066,669090,107.47322845459
"426",115.220001220703,115.559997558594,114.540000915527,114.860000610352,505387,107.323722839355
"427",114.480003356934,115.699996948242,113.680000305176,115.699996948242,1518227,108.108612060547
"428",116.5,118.099998474121,116.019996643066,118,1478587,110.257713317871
"429",117.519996643066,117.900001525879,116.400001525879,116.779998779297,938576,109.117752075195
"430",116.800003051758,116.900001525879,114.480003356934,114.480003356934,896433,106.968658447266
"431",114.720001220703,116.559997558594,114.680000305176,115.879997253418,641283,108.276802062988
"432",115.819999694824,115.819999694824,113.860000610352,114.099998474121,892841,106.613586425781
"433",113.959999084473,115.279998779297,112.480003356934,113.720001220703,1134101,106.258522033691
"434",112.660003662109,115.779998779297,112.459999084473,115.199996948242,1168922,107.641418457031
"435",115.599998474121,116.699996948242,114.180000305176,114.360000610352,1161466,106.856536865234
"436",114.620002746582,115.419998168945,113.680000305176,115.080001831055,1047597,107.529296875
"437",114.639999389648,114.839996337891,112.160003662109,112.76000213623,1132942,105.361518859863
"438",112.800003051758,114.059997558594,112.139999389648,112.360000610352,1054477,104.987762451172
"439",113.139999389648,115.779998779297,113.080001831055,114.879997253418,1445194,107.342414855957
"440",115.220001220703,116.139999389648,111.860000610352,113.040000915527,3390435,105.623138427734
"441",110.800003051758,113.919998168945,108.720001220703,111.940002441406,2416938,104.595321655273
"442",112.160003662109,113.519996643066,111.76000213623,113.279998779297,1539371,105.847396850586
"443",113.879997253418,115.839996337891,113.879997253418,115.839996337891,1225883,108.239433288574
"444",117,118,116.139999389648,116.680000305176,1211204,109.024322509766
